day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;SQUID_INK;1834;23;;;;;1838;23;;;;;1836.0;0.0
1;0;RAINFOREST_RESIN;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
1;0;KELP;2032;23;;;;;2035;23;;;;;2033.5;0.0
1;100;KELP;2034;1;2033;2;2032;22;2035;22;;;;;2034.5;0.0
1;100;SQUID_INK;1837;1;1836;2;1835;22;1839;22;;;;;1838.0;0.0
1;100;RAINFOREST_RESIN;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
1;200;RAINFOREST_RESIN;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
1;200;KELP;2032;22;;;;;2035;22;;;;;2033.5;0.6317138671875
1;200;SQUID_INK;1832;22;;;;;1835;22;;;;;1833.5;0.0
1;300;KELP;2034;1;2032;26;;;2035;26;;;;;2034.5;1.344970703125
1;300;SQUID_INK;1836;1;1834;26;;;1837;26;;;;;1836.5;-1.3687744140625
1;300;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;5.0
1;400;SQUID_INK;1833;28;;;;;1836;28;;;;;1834.5;-0.30126953125
1;400;RAINFOREST_RESIN;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;5.0
1;400;KELP;2032;28;;;;;2035;28;;;;;2033.5;1.9873046875
1;500;KELP;2032;24;;;;;2034;3;2035;24;;;2033.0;1.8974609375
1;500;SQUID_INK;1834;24;;;;;1836;3;1837;24;;;1835.0;-1.3465576171875
1;500;RAINFOREST_RESIN;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;5.0
1;600;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;5.0
1;600;KELP;2033;5;2032;30;;;2035;30;;;;;2034.0;2.0498046875
1;600;SQUID_INK;1834;5;1832;30;;;1835;30;;;;;1834.5;0.3863525390625
1;700;KELP;2032;22;;;;;2035;23;;;;;2033.5;4.900390625
1;700;SQUID_INK;1834;22;;;;;1837;1;1838;22;;;1835.5;-1.9124755859375
1;700;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;5.0
1;800;SQUID_INK;1836;25;;;;;1837;3;1839;25;;;1836.5;-3.412841796875
1;800;RAINFOREST_RESIN;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;5.0
1;800;KELP;2032;25;;;;;2033;3;2035;25;;;2032.5;4.5380859375
1;900;SQUID_INK;1840;21;;;;;1843;21;;;;;1841.5;-7.639892578125
1;900;KELP;2031;21;;;;;2035;21;;;;;2033.0;3.541015625
1;900;RAINFOREST_RESIN;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;8.0
1;1000;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;30.0
1;1000;KELP;2032;31;;;;;2035;31;;;;;2033.5;16.765625
1;1000;SQUID_INK;1841;31;;;;;1844;31;;;;;1842.5;-8.14208984375
1;1100;SQUID_INK;1840;22;;;;;1843;22;;;;;1841.5;-7.6295166015625
1;1100;KELP;2032;22;;;;;2035;22;;;;;2033.5;16.865234375
1;1100;RAINFOREST_RESIN;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;30.0
1;1200;SQUID_INK;1839;22;;;;;1842;23;;;;;1840.5;-6.6346435546875
1;1200;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;30.0
1;1200;KELP;2031;23;;;;;2032;1;2035;23;;;2031.5;17.42578125
1;1300;SQUID_INK;1840;25;;;;;1843;25;;;;;1841.5;-7.4434814453125
1;1300;KELP;2031;25;;;;;2035;25;;;;;2033.0;18.29638671875
1;1300;RAINFOREST_RESIN;10002;1;9995;25;;;10005;25;;;;;10003.5;30.0
1;1400;RAINFOREST_RESIN;9995;23;;;;;10000;6;10005;23;;;9997.5;32.0
1;1400;KELP;2031;23;;;;;2033;6;2035;23;;;2032.0;18.33349609375
1;1400;SQUID_INK;1841;23;;;;;1842;6;1844;23;;;1841.5;-8.4208984375
1;1500;SQUID_INK;1844;1;1842;21;;;1845;21;;;;;1844.5;-9.55908203125
1;1500;KELP;2034;1;2032;1;2031;20;2035;21;;;;;2034.5;18.1337890625
1;1500;RAINFOREST_RESIN;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;32.0
1;1600;SQUID_INK;1844;2;1843;28;;;1847;30;;;;;1845.5;-11.101806640625
1;1600;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;40.0
1;1600;KELP;2032;30;;;;;2035;30;;;;;2033.5;18.4638671875
1;1700;SQUID_INK;1841;28;;;;;1843;8;1844;28;;;1842.0;-8.6610107421875
1;1700;KELP;2032;28;;;;;2034;8;2035;28;;;2033.0;18.36328125
1;1700;RAINFOREST_RESIN;9995;28;;;;;10005;28;;;;;10000.0;40.0
1;1800;RAINFOREST_RESIN;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;40.0
1;1800;KELP;2033;4;2032;23;;;2035;23;;;;;2034.0;18.87109375
1;1800;SQUID_INK;1843;4;1841;23;;;1845;23;;;;;1844.0;-9.0855712890625
1;1900;KELP;2032;31;;;;;2035;32;;;;;2033.5;18.62109375
1;1900;SQUID_INK;1844;32;;;;;1845;1;1847;2;1848;30;1844.5;-11.9482421875
1;1900;RAINFOREST_RESIN;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;40.0
1;2000;KELP;2032;23;;;;;2035;23;;;;;2033.5;18.5166015625
1;2000;SQUID_INK;1846;23;;;;;1849;23;;;;;1847.5;-13.8226318359375
